ENSEMBLID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,-log10p
ENSG00000227232,4.903704278989154,2.342294913661097,0.6268702891403176,3.73649055352949,0.00018660645602752374,0.0016224031148872645,True,3.7290733350341805
ENSG00000278267,3.3637804091068055,-1.0887661641185136,0.3878567088460438,-2.807135056030936,0.004998428057592254,0.02245707004849313,True,2.30116655431405
ENSG00000237973,209.13417158362495,2.618220045619661,0.5819761476491386,4.4988442502254085,6.832388895155765e-06,0.00010225489802286477,True,5.165427421854561
ENSG00000229344,6.111017106634306,1.671313553944316,0.513332810059333,3.255808943424324,0.0011306980914907458,0.006969560157631824,True,2.9466533408772855
ENSG00000223764,1.268479905803476,2.2964012166234076,0.8462058782110435,2.71376183474193,0.006652397376707297,0.02799607015492772,True,2.177021816374244
ENSG00000187608,2369.0222971892495,1.1781317662588389,0.3434181109749107,3.4306046437513316,0.000602237637572643,0.0042136581553173695,True,3.220232106213951
ENSG00000260179,1.8095584789059704,1.295643065447859,0.4808877071417372,2.6942736239792886,0.007054222737651578,0.02926079763439189,True,2.1515508315687577
ENSG00000162576,20.19758213932595,-1.3329397963672802,0.46535195797036527,-2.864369158735043,0.004178407364338429,0.019546881557420213,True,2.3789892217372306
ENSG00000179403,1.6578917626293368,1.9459373715772732,0.5832591443857286,3.3363169532929957,0.0008489631443116412,0.005539196052965656,True,3.0711111631948125
ENSG00000169885,1.355152626261247,1.7165273416066325,0.6294177256168848,2.7271671447198034,0.006388067137235546,0.027175149728055962,True,2.1946305281663494
ENSG00000142609,2.8214053694708183,2.7125974491016245,0.6224950280281837,4.357621068386768,1.3148376983980201e-05,0.0001777295877097542,True,4.8811278525281026
ENSG00000187730,3.1070569542958926,1.7535876520494282,0.5787591794767755,3.029909009192305,0.0024462742562858407,0.012881799281953725,True,2.611494855020661
ENSG00000177133,1.6251167507334754,2.529528479596023,0.7643165321935955,3.3095299827366715,0.000934527563407244,0.0059797031023549815,True,3.029407884805071
ENSG00000272235,1.1361573860506033,1.9248132326631358,0.7359081303714027,2.6155618523900652,0.00890807853897445,0.03490151615668222,True,2.050215962619942
ENSG00000287828,0.9754857493980225,3.3583794522880805,1.057404568594241,3.1760591471179795,0.0014929050918045072,0.008660414246767865,True,2.8259678007248996
ENSG00000078900,27.63962368695699,2.141644927911499,0.2922251147393141,7.328750404707689,2.323085763231249e-13,2.2501263509797675e-11,True,12.63393475670405
ENSG00000162592,2.065192011878921,1.3301218234542744,0.513039359343902,2.592631148524929,0.009524485923530604,0.0367452627831505,True,2.0211584557152285
ENSG00000235169,15.53299804410522,2.716737839260106,0.43371937957851414,6.26381473177476,3.7567178206821434e-10,1.931002800199719e-08,True,9.425191424985341
ENSG00000284694,0.8657420127117215,2.9551346119808954,1.0917391197509607,2.70681388851853,0.006793232892119221,0.02837831848705918,True,2.1679234962544838
ENSG00000097021,263.7210164508495,1.531696232730535,0.16506981759605244,9.279081149037173,1.709463588375975e-20,4.044643047459034e-18,True,19.767140145253933
ENSG00000069812,0.8420485039432033,2.9322516267260235,0.9875939958096506,2.969086121592002,0.002986868720455926,0.015077849509858538,True,2.524783865187805
ENSG00000116285,35.49950682732991,-1.483417209803038,0.427304426685716,-3.471569956128952,0.0005174244963046819,0.003742723982021847,True,3.286153014432549
ENSG00000142583,106.73246640556167,1.7514779774432552,0.2843026188589389,6.1606114796722204,7.246458043250447e-10,3.460769908328931e-08,True,9.139874218001035
ENSG00000228526,6.920764288291287,1.6814398294616058,0.31500875273834694,5.337755903113733,9.410403143577976e-08,2.547383802927505e-06,True,7.026391770910577
ENSG00000234546,1.9449538406809883,3.023173011953957,0.6896873679889486,4.383396234687018,1.168433150614588e-05,0.00016010426836118107,True,4.932396129784119
ENSG00000284693,2.217998898395178,1.8871745592555262,0.5678657091589854,3.32327613521593,0.0008896679915454973,0.005740062322637946,True,3.0507720341875273
ENSG00000284735,4.397597275423284,1.1617958306573,0.40407551065456754,2.87519485844438,0.004037782222675336,0.019034381747805633,True,2.393857108384184
ENSG00000215910,2.23137732063086,1.756949668224505,0.4810619526401987,3.6522316067231837,0.00025997125029069367,0.0021345189146384238,True,3.585074677146393
ENSG00000224904,0.8098367087390228,1.9595807055094752,0.7871398019092726,2.48949513257537,0.012792467019018683,0.04573313397086992,True,1.89304569403352
ENSG00000188984,0.7144425278809434,2.661895281375618,1.0743969831343556,2.4775714406885503,0.01322799240373388,0.04693965782665225,True,1.878506063154873
ENSG00000157330,1.789420238396907,2.3299408285678522,0.8458045809686177,2.7547034870626947,0.005874534728923491,0.025391326721933286,True,2.2310265244030862
ENSG00000189337,8.23723262617123,2.1507600362749097,0.4071646745455662,5.28228545041477,1.2758220514178383e-07,3.2953420403079914e-06,True,6.894209895737587
ENSG00000175147,3.4598572046422156,1.0641091328675902,0.39114446896128163,2.720501546892444,0.006518296690088084,0.027532652754058348,True,2.185865875853749
ENSG00000162458,1.951959481628223,1.84648453903188,0.5724851354071244,3.225384249878815,0.0012580369564781377,0.0075596850457619,True,2.900306600735918
ENSG00000142623,1.3031658549193654,2.7635077023685195,0.833839610197754,3.314195762076023,0.0009190713666615912,0.005899071652448958,True,3.0366507639741402
ENSG00000142619,0.9081008188101206,2.1889293370637937,0.8603548713816855,2.544216822470577,0.010952307635562576,0.04075231394528956,True,1.960494365955982
ENSG00000117154,0.8671112310071989,3.167856705194288,1.0648772133843267,2.9748563171207336,0.0029312580946175833,0.014852761916408696,True,2.5329459406426253
